Date,Closing Price,Volume
2021-07-10,31.788644790649414,296566657
2021-07-11,32.17784118652344,211679810
2021-07-12,30.848087310791016,221058993
2021-07-13,29.12118911743164,197825362
2021-07-14,31.2810001373291,331866434
2021-07-15,28.45210075378418,329918376
2021-07-16,26.37000846862793,374718328
2021-07-17,26.721668243408203,289689475
2021-07-18,26.751909255981445,230336396
2021-07-19,24.44757652282715,361915410
2021-07-20,23.48955535888672,413439963
2021-07-21,26.623079299926758,555770206
2021-07-22,27.70208168029785,364666998
2021-07-23,28.513879776000977,407955237
2021-07-24,28.702619552612305,353750758
2021-07-25,28.168773651123047,309208018
2021-07-26,28.306642532348633,743673802
2021-07-27,28.065326690673828,375599550
2021-07-28,27.815410614013672,315682626
2021-07-29,31.281137466430664,448009571
2021-07-30,32.393943786621094,617830199
2021-07-31,36.82731246948242,587168181
2021-08-01,34.25436019897461,490639931
2021-08-02,33.22241973876953,407399691
2021-08-03,33.99644088745117,474629269
2021-08-04,35.76362609863281,413657602
2021-08-05,37.35513687133789,595137193
2021-08-06,39.446102142333984,589190671
2021-08-07,39.403472900390625,534979916
2021-08-08,37.673824310302734,358570315
2021-08-09,38.767784118652344,377034585
2021-08-10,40.63979721069336,452480699
2021-08-11,41.74411392211914,507980107
2021-08-12,41.099361419677734,527833804
2021-08-13,44.894500732421875,541894525
2021-08-14,44.112850189208984,363834257
2021-08-15,53.74515914916992,1448656564
2021-08-16,62.432464599609375,3799339365
2021-08-17,64.21070861816406,4043742154
2021-08-18,72.5433120727539,4507409622
2021-08-19,72.75760650634766,2467398203
2021-08-20,78.72461700439453,1844455899
2021-08-21,73.75621032714844,1513097171
2021-08-22,72.80391693115234,968933849
2021-08-23,75.70803833007812,1372134245
2021-08-24,70.67090606689453,2153611667
2021-08-25,71.95156860351562,1551240766
2021-08-26,75.31620788574219,2713050538
2021-08-27,88.08698272705078,3263988286
2021-08-28,96.70317077636719,2580080503
2021-08-29,94.46967315673828,1830344091
2021-08-30,110.54480743408203,5274104165
2021-08-31,108.48377227783203,7590894022
2021-09-01,111.03300476074219,3974443896
2021-09-02,128.10238647460938,5074399603
2021-09-03,146.5830535888672,7526373837
2021-09-04,139.11306762695312,3970422964
2021-09-05,142.0708770751953,2996918105
2021-09-06,164.38092041015625,5774090688
2021-09-07,173.14892578125,17068643416
2021-09-08,191.04139709472656,13187213606
2021-09-09,188.19580078125,12676272744
2021-09-10,179.865234375,7087524572
2021-09-11,178.8678741455078,5367389010
2021-09-12,174.53762817382812,3012633094
2021-09-13,169.26954650878906,6437530449
2021-09-14,158.09481811523438,5799758794
2021-09-15,159.1173858642578,3908939772
2021-09-16,152.47406005859375,3215168472
2021-09-17,147.5930633544922,4675731485
2021-09-18,169.18421936035156,5415012910
2021-09-19,152.51669311523438,3350530308
2021-09-20,132.13446044921875,5623667250
2021-09-21,123.95039367675781,5243953819
2021-09-22,147.92425537109375,4952222859
2021-09-23,149.75357055664062,3389212044
2021-09-24,139.39564514160156,3852350632
2021-09-25,136.17892456054688,2037106949
2021-09-26,135.69937133789062,2674182809
2021-09-27,136.72842407226562,2867246888
2021-09-28,131.53721618652344,2422542861
2021-09-29,135.35145568847656,2428105040
2021-09-30,141.0690460205078,2244376110
2021-10-01,161.682373046875,4387488320
2021-10-02,169.093017578125,3471658582
2021-10-03,172.5891571044922,3149579954
2021-10-04,166.73191833496094,3109040100
2021-10-05,164.11582946777344,2541087419
2021-10-06,154.1077423095703,3259712887
2021-10-07,154.28118896484375,2579187256
2021-10-08,158.94920349121094,2781848650
2021-10-09,156.82583618164062,1522023824
2021-10-10,148.0487060546875,1556965341
2021-10-11,144.85813903808594,1851795187
2021-10-12,152.73712158203125,2853992440
2021-10-13,148.17604064941406,2105226551
2021-10-14,149.75680541992188,1948101208
2021-10-15,162.59620666503906,3970589003
2021-10-16,157.538818359375,1531502795
2021-10-17,159.74380493164062,2168838138
2021-10-18,157.2312774658203,1698878759
2021-10-19,156.01702880859375,1400902548
2021-10-20,175.94686889648438,3315306825
2021-10-21,190.3184356689453,6865815461
2021-10-22,196.43153381347656,7486821306
2021-10-23,197.703857421875,3253670286
2021-10-24,202.3619842529297,3413057378
2021-10-25,210.1042938232422,4837376169
2021-10-26,199.8072509765625,3194205752
2021-10-27,183.77459716796875,4552692842
2021-10-28,194.86398315429688,3463958628
2021-10-29,200.18275451660156,2468703579
2021-10-30,195.4160614013672,1732207667
2021-10-31,202.4210205078125,2577364486
2021-11-01,203.5450897216797,3157612663
2021-11-02,220.23959350585938,3020087232
2021-11-03,242.89881896972656,6024951132
2021-11-04,247.3877716064453,4440296290
2021-11-05,236.47433471679688,2752870913
2021-11-06,258.934326171875,3869779683
2021-11-07,249.823486328125,2624869522
2021-11-08,248.46717834472656,3344410176
2021-11-09,239.213134765625,2819309492
2021-11-10,233.77952575683594,3873202098
2021-11-11,234.24075317382812,2693456862
2021-11-12,228.50209045410156,3022054714
2021-11-13,241.8250274658203,2322796265
2021-11-14,238.42552185058594,1705211600
2021-11-15,237.55360412597656,2414551003
2021-11-16,219.23902893066406,3557977024
2021-11-17,218.71524047851562,2982505239
2021-11-18,195.48741149902344,3911214658
2021-11-19,215.28001403808594,3431624914
2021-11-20,218.01527404785156,2003638941
2021-11-21,231.28262329101562,2636480460
2021-11-22,215.73727416992188,3254258844
2021-11-23,221.83689880371094,2328763768
2021-11-24,214.92153930664062,2293934142
2021-11-25,206.25299072265625,2586718627
2021-11-26,191.51174926757812,3380122748
2021-11-27,193.10215759277344,1443178833
2021-11-28,200.67665100097656,2033215941
2021-11-29,204.31936645507812,2110532147
2021-11-30,208.67098999023438,2888387657
2021-12-01,229.7992401123047,3532771294
2021-12-02,233.9930419921875,4074103518
2021-12-03,211.22439575195312,4061060881
2021-12-04,201.1248321533203,5949505665
2021-12-05,196.1682586669922,3402591975
2021-12-06,194.19921875,3693853028
2021-12-07,190.59690856933594,2556849839
2021-12-08,194.6217041015625,2277446203
2021-12-09,181.17808532714844,1968182104
2021-12-10,167.954833984375,2118266396
2021-12-11,171.94949340820312,1877844189
2021-12-12,173.43167114257812,1196808540
2021-12-13,155.2130584716797,2547597256
2021-12-14,153.34144592285156,2604045117
2021-12-15,178.34078979492188,3783787658
2021-12-16,176.9546661376953,2766320569
2021-12-17,175.5032958984375,2711688386
2021-12-18,182.8351287841797,1690397976
2021-12-19,180.09805297851562,1678714066
2021-12-20,173.67178344726562,1982986558
2021-12-21,180.09254455566406,1821107818
2021-12-22,178.5971221923828,1889229699
2021-12-23,190.03631591796875,2191634326
2021-12-24,190.273193359375,2286837232
2021-12-25,193.1209259033203,1443209769
2021-12-26,198.000732421875,1971114647
2021-12-27,195.42950439453125,1800094698
2021-12-28,177.42562866210938,2826063568
2021-12-29,170.65756225585938,2175731146
2021-12-30,172.75119018554688,1540637869
2021-12-31,170.299072265625,1567918820
2022-01-01,178.5179443359375,1084780603
2022-01-02,176.38284301757812,995389409
2022-01-03,170.29774475097656,1345778058
2022-01-04,167.93890380859375,1499265336
2022-01-05,155.0997314453125,2123759721
2022-01-06,150.4313507080078,2097172620
2022-01-07,136.40281677246094,2926269672
2022-01-08,142.51345825195312,2730000333
2022-01-09,140.83900451660156,1599123912
2022-01-10,135.95494079589844,2040883379
2022-01-11,140.18385314941406,1554197314
2022-01-12,151.70310974121094,2242337550
2022-01-13,146.01004028320312,2177023564
2022-01-14,146.15902709960938,1822320951
2022-01-15,147.80117797851562,1123271784
2022-01-16,147.8565216064453,1172854751
2022-01-17,139.92601013183594,1487772250
2022-01-18,141.58718872070312,1449435942
2022-01-19,135.79238891601562,1444663456
2022-01-20,127.20528411865234,984099352
2022-01-21,111.96605682373047,3771688473
2022-01-22,94.1783676147461,4039466376
2022-01-23,99.5782241821289,2548191912
2022-01-24,91.65016174316406,4664539688
2022-01-25,94.72035217285156,2842652332
2022-01-26,92.23804473876953,3177186515
2022-01-27,89.63249206542969,2513945822
2022-01-28,91.31289672851562,2156098049
2022-01-29,96.2234878540039,1727329992
2022-01-30,93.29767608642578,1110338981
2022-01-31,99.73883819580078,1888454241
